unitid,unitname,timeperiod,mealname,fcst_custcount,served_custcount,sold_custcount,srvcrsname,itemname,fcst_prtnsize,served_prtnsize,sold_prtnsize,itemuofm1_intid,fcst_prtncount,itemuofm2_intid,served_prtncount,itemuofm3_intid,sold_prtncount,fcst_price,served_price,sold_price,eventdate,item_intid,eventlist_intid,itemxa_intid,itemevent_intid,itemgroup,groupseq,source,sortorder1,servicecourse_intid,day_fcstcount,total_fcstcount,day_servedcount,total_servedcount,day_soldcount,total_soldcount,serving_utensil,serving_pan,codesort,tempcoursecount,srvcoursecount,courseselect,F44
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,GLUTEN FREE,OL*Mashed Sweet Potatoes ,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),67541,12,67541,12,67541,12,0.25,0.25,0.25,7/29/2012 0:00,13917,11440551,33210,151172,,,,65000,73,1912,1038,1912,1038,1912,1038,SOLID SPOON              ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,HONOR G GRILL,Grilled Beer Brat on a Bun,Sandwich,Sandwich,Sandwich,61392,310,61392,310,61392,310,1.33,1.33,1.33,7/29/2012 0:00,12359,11445968,29934,151172,,,,66000,53,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,HONOR G GRILL,"Grilled Onions, Green Peppers & Tomatoes",Ounce,Ounce,Ounce,61395,180,61395,180,61395,180,0.13,0.13,0.13,7/29/2012 0:00,12360,11445967,29935,151172,,,,67000,53,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,HONOR G GRILL,V*SAUERKRAUT,2.14 OZ,2.14 OZ,2.14 OZ,5397,140,5397,140,5397,140,0.1,0.1,0.1,7/29/2012 0:00,3623,11445966,3623,151172,,,,68000,53,1912,1038,1912,1038,1912,1038,SLOTTED SPOON            ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,HONOR G GRILL,Char Grilled Hamburger,Sandwich,Sandwich,Sandwich,47478,150,47478,150,47478,150,0.71,0.71,0.71,7/29/2012 0:00,8957,11440547,22115,151172,,,,69000,53,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,HONOR G GRILL,LATTICE CUT FRIES,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),31850,500,31850,500,31850,500,0.25,0.25,0.25,7/29/2012 0:00,3144,11440556,3144,151172,,,,70000,53,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,PASTA BAR,V*Marinara Sauce,Gallon,Gallon,Gallon,60498,6,60498,6,60498,6,5.55,5.55,5.55,7/29/2012 0:00,12089,11440536,29575,151172,,,,71000,56,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,PASTA BAR,V*Pasta Fettuccine ,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),48166,410,48166,410,48166,410,0.1,0.1,0.1,7/29/2012 0:00,7337,11440542,19925,151172,,,,72000,56,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,PASTA BAR,Chicken Alfredo Sauce ,4 Oz Portion,4 Oz Portion,4 Oz Portion,49725,256,49725,256,49725,256,0.41,0.41,0.41,7/29/2012 0:00,9541,11440563,22791,151172,,,,73000,56,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,PLAT DU JOUR,Rstd Pork Loin w/Sage Corn Bread Crust,4 Oz Portions,4 Oz Portions,4 Oz Portions,59662,380,59662,380,59662,380,0.64,0.64,0.64,7/29/2012 0:00,11887,11440544,28967,151172,,,,74000,54,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,PLAT DU JOUR,OL*Mashed Sweet Potatoes ,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),67541,607,67541,607,67541,607,0.25,0.25,0.25,7/29/2012 0:00,13917,11440543,33210,151172,,,,75000,54,1912,1038,1912,1038,1912,1038,SOLID SPOON              ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,PLAT DU JOUR,V*California Blend Vegetables ,(3 Oz Portion),(3 Oz Portion),(3 Oz Portion),41084,312,41084,312,41084,312,0.24,0.24,0.24,7/29/2012 0:00,7511,11440558,20162,151172,,,,76000,54,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,SOUPS                    ,Chicken Enchilada Baja Soup,4 OZ LADEL,4 OZ LADEL,4 OZ LADEL,53934,0,53934,0,53934,0,0.61,0.61,0.61,7/29/2012 0:00,10560,11440538,25396,151172,,,,77000,1,1912,1038,1912,1038,1912,1038,4 OZ LADLE               ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,SOUPS                    ,V*Gingered Carrot Soup ,4 Oz Portion,4 Oz Portion,4 Oz Portion,61459,0,61459,0,61459,0,0.12,0.12,0.12,7/29/2012 0:00,12370,11440539,29958,151172,,,,78000,1,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,STIR FRY STATION,Pepper Steak,(6 Oz Portion),(6 Oz Portion),(6 Oz Portion),47644,160,47644,160,47644,160,1.34,1.34,1.34,7/29/2012 0:00,8996,11440554,22164,151172,,,,79000,52,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,STIR FRY STATION,V*STEAMED WHITE RICE,(3 Oz Portion),(3 Oz Portion),(3 Oz Portion),47729,260,47729,260,47729,260,0.01,0.01,0.01,7/29/2012 0:00,9014,11440550,22186,151172,,,,80000,52,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,VEGAN SPECIAL,V*Tempura Vegetables ,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),42092,379,42092,379,42092,379,0.4,0.4,0.4,7/29/2012 0:00,7693,11440537,20402,151172,,,,81000,60,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,VEGAN SPECIAL,African Spiced Wild Rice w/Almonds (V),4 Oz Portion,4 Oz Portion,4 Oz Portion,68867,394,68867,394,68867,394,0.33,0.33,0.33,7/29/2012 0:00,14229,11440545,34000,151172,,,,82000,60,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,VEGAN SPECIAL,V*California Blend Vegetables ,(3 Oz Portion),(3 Oz Portion),(3 Oz Portion),41084,120,41084,120,41084,120,0.24,0.24,0.24,7/29/2012 0:00,7511,11440560,20162,151172,,,,83000,60,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
